Review
"saya suka aplikasi ini bnyak film yg bisa d tonton juga iklan ny gk terlalu sering jd gk ganggu d penarikan pertama bisa aq dapat RP.1000 tapi yg jadi masalah kenapa di penarikan yg berikut nya g bisa d tarik uang nya gimana cara menarik nya,,,harus nya gampang sama kaya d fizo dan jelas detail cara menarik nya"
"awalnya ga ada iklan tapi lama kelamaan jadi banyak iklan udah gitu durasinya lama banget dari 5 detik sampe 10 menit, ga rekomend banget aplikasinya padahal dah untung banyak dari hasil unduhan tapi masih aja serakah dan pelit kalau mau ngasih iklan tuh seharusnya setiap 10 menit episode berlangsung bukan baru 3/2 episode sudah iklan lagi. mengecewakan sih awalnya doang menggiurkan tapi ujung-ujungnya mengecewakan jadi nyesel bangga banggain melolo!!!"
aplikasi ini memang bagus dari pada yang lain nya dan juga iklan nya 3 kali kita nonton dari pada di aplikasi yang lain kudu iklan kalo mau nonton tapi pliss tambahin yang baru vidio nya saya ingin nonton yang (CINTA BERACUN) tapi tidak ada saya mencoba mendownload aplikasi yang lain ternyata ada cuman iklan nya melebihi banget saya jadi tantrum sendiri 🙏🙏🙏🤭😂
"bagus sih drama nya, tapi sayang pas mau pilih metode untuk penarikan, layarnya putih semuanya. gua nunggu prosesnya sampai 4 jam sampe gua ketiduran. gilakk layarnya masih putih semua. padahal gua nungguin prosesnya tanpa log out, tolong dong di perbaiki lagi. masa udah di instal di kasih nilai dan di tonton oleh masyarakat ini apk. masa buat penarikannya gak bisa. kalau ini apk mau dipandang bagus oleh penonton drama china. tolong di perbaiki lagi, gua kasih bintang 1 lagi kalau gua bisa narik"
"pengalaman pertama yg mengangungkan dari aplikasi ini , tanpa iklan dan sangat santai, rekomendasi terbaik dari saya, terimakasih ini ulasan saya yang kedua,sungguh aplikasi yang mengagumkan saya bertaruh untuk kalian,jika mendownload nya kalian akan merasa puas menonton film pendek seru dan santai tanpa gangguan yang ber arti membuat kita kesal."
"Aplikasinya bagus banget! Tapi tolong di. kasih info koin kita udh nonton berapa menit. Ternyata beneran bisa dibayar, jadi nonton drama pendek sambil dapet cuan. Kualitas videonya juga oke, banyak pilihan cerita yang seru dan gak membosankan. Baru tau ternyata satu developer sama Fizzo, pantesan konsepnya mirip dan terpercaya. Cocok buat yang suka nonton sambil dapet penghasilan tambahan. Recommended! 👍🔥"
"plis ini aplikasi yang bagus banget menurut ku, ini juga bebas iklan, kadang juga ada iklannya tapi gak setiap ganti eps langsung iklan enggak, bisa nonton dracin/Drakor sepuasnya tanpa harus bayar, ini menurut aku bagus banget, selain bebas iklan dia juga gak harus bayar, pokoknya ini aplikasi bagus deh wajib di download dan di cobain🤍🤍"
bintang 1 dulu soal nya nggak sesuai di dalam tulisan kalok saldo sudah di atas minimum bakal di transfer otomatis setiap hari Jumat ini udah Jumat yang ke 2 saldo padahal udah lebih dari minimum dari Minggu kemarin tapi nggak di transfer kalok ttp nggak di transfer terpaksa hapus aja buang2 kuota nggak ada hasil
"film nya seru dan bagus sih..cuma syg skrg koin nya jd berkurang..ga sprt waktu di awal,klo kayak gini di jamin pd males ngedownload..balikkin lagi koin nya ke semula donk..nonton berjam jam dpt rupiah nya cuma sedikit..kuota aja yg hbs.!!!!payah.."
baru sekali nyoba nonton videonya.. dan beneran bisa sampai ending gk keputus gara2 kurang koin dan harus bayar... semoga kyk gini terus lah... gk ada upgrade yg bikin langganan premium dulu baru bisa nonton full videonya.
"aplikasinya bagus dan terbukti tidak ada iklan sangat memuaskan untuk penonton yang ingin nonton drama china pendek gratis dan tanpa iklan, melolo aplikasi yang bagus aku menyukainya. semoga melolo selamanya tetap gratis dan tidak ada iklan saat menonton agar penonton tetap nyaman"
"aplikasi nya sudah bagus, saya suka dengan aplikasi melolo ini, tapi kenapa beberapa film/short yang menggunakan dubbing yaa, jadi kaya aneh aja gitu kalo pake dubbing, ekspresi nya kurang dapet gitu, jadi tolong dong developer untuk beberapa film atau short itu tetep menggunakan bahasa aslinya, terimakasih"
"kasih bintang 3 karena penarikan ga bisa, awal awal iklan nya ok lama kelamaan amburadul banyak banget, kalo bisa lancar penarikan dan iklan nya ga terlalu banyak baru update lagi jadi bintang 5"
"aku ganti ulasan nya karena ya emang awal awal ga ada iklan tapi sekarang ko lebih sering muncul iklan ya? padahal aku baru nonton 2 episode terus muncul iklan. awal nya aku biasa aja tapi lama lama setiap aku nonton 2 episode selalu iklan, bikin kesel lagi nonton enak enak di ganggu iklan, aku tau ini gratis tapi tolong di ubah soalnya ganggu banget lagi nonton iklan nya"
"app short drama ini oke bgt, krn bener2 free, tanpa hrs bayar langganan.. cuma minusnya (menurut sy ya) ada beberapa drama yg didubbing bahasa indo.. sy skip kalau drama nya di dubbing, entah kenapa aneh aja.. mending bahasa asli + subtitle, jd sambil belajar bahasa asing.. sebenernya utk nama tokoh diganti ke bahasa indo, jg itu kenapa ya? knp ga pakai nama aslinya aja?? jd kaya kurang pas gitu.. tapi overall app ini oke bgt, smoga konsisten trs 😄😄"
awalnya aplikasi ini bagus banget sya suka .tapi lama kelamaan kok episodenya ada yg GK bisa dibuka alasan jaringannya padahal jaringannya bagus .dan saya coba download lagi tapi sampai Skrang belum bisa karna kendala jaringan katanya😭😭 nanti kalau sudah bagus lagi sya ganti bintang 5
"Oke bangets seh menurut aku aplikasi ini, beda dengan yg lainnya yg sejenis, ini bener2 gratis, walau ada sedikit iklan GPP seh.. lagian cuman sedikit wajar ajalah kalo ada iklannya, tapi pertahankan ya, sudah bagus seperti ini , iklannya sedikit.. bintal 5 plus jempol deh.."
"aplikasi ini bagus bisa nonton drama sebanyak banyak nya Dan juga tanpa iklan, tapi ini bukan 100% tanpa iklan,kadang kalau ingin Scroll kebawah tiba tiba saja iklan tapi gak papa. tapi mohon iklan nya dikurangin dan juga kadang dubbing nya gak cocok sama orang Nya divideo, mending tidak usah pakai dubbing,biarkan saja suara asli aktor nya dengan bahasa China lebih cocok, kalau pun pakai dubbing kalau kita udah sampai ke eps kebawah dubbing nya juga hilang Dan balik ke bahasa China sebelumnya."
"Tolong ini kenapa lelet bgt ya? Padahal wifi lancar aja pas aku buka apk lain, giliran mau nonton di sini loadingnya lama bgt, nunggu loading bermenit-menit pas udah bisa baru 5 detik udah muter-muter lagi. Plis bgt tolong di PERBAIKI, begitupun dengan IKLANNYA yang harus dikurangi. Makasih"
"baru Download aplikasi ini, suka karna belum ada iklan per. episode dan gak berbayar, karna kan kita juga buka aplikasi dan nonton dramanya pake kuota, udah bayar juga itu. jadi semoga selama nya tanpa iklan dan gak berbayar pake koin, ya minimal kalo ada iklan gak apa asal gak kebanyakan/jarang lah.. dan gak jadi bayar nanti.. bisa bisa uninstal nih"
"awal nyoba langsung enak no ribet, nonton dapat uang gratis, iklan gak banyak cuman beberapa tapi gak gak ganggu, gak perlu langganan, cuman mohon di perbanyak dikit, karena alir ceritanya banyak yang sama cuman beda orangnya saja. tapi tetap oke lah dah bagus apknya. sekian terimakasih."
keren sih episode terbuka semua dan lengkap dpt cuan lagi. tapi kalau boleh saran kalau sedang ada iklan setelah iklan selesai otomatis pemutar filmnya tidak perlu kita tutup iklannya dan semoga next bnyak misi yg di bisa di kerjakan untuk nambah cuan 🤣🤣
aplikasinya bagus sih tapi kenapa setelah update terbaru jadi banyak episode yg hilang di tiap judul dramanya? dan rata2 episode yg hilang itu episode 3 dan banyak episode terakhir yg ga bisa dibuka selalu ada ada notif cek jaringan padahal jaringan saya bagus tolong perbaiki segera
"sengaja instal cuma buat komen iklan melolo selalu muncul di aplikasi lain sampai 5 menit. Saya yg baca novel jadi sangat terganggu, harusnya 1 menit saja paling lama itu lebih dari cukup. tolong pendekin penayangan iklannya"
"aplikasi nya bagus, Recommended bagi orang yang suka nonton gratisan, ada iklan tapi iklan nya sedikit dan durasi iklan nya cepat, dan saya punya saran untuk aplikasi nya yaitu bisa fullscreen-Video ( hanya Tampilan video - no UI ) kaya seperti video player, jadi kalo nonton jadi kaya full gitu video nya, tapi pokok nya NII aplikasi paling bagus dari aplikasi short drama lainnya, semoga kedepannya ni aplikasi makin berkembang dan tidak mengecewakan pengguna atau user."
"kecewa...!! ±2jam nonton ga dpt bonus...!! padahal udah check-in,cuman diatas ga ada logo masuk, Aq lanjut ajj nonton trus AQ klik bonus nonton hariannya setelah beres nonton sampai ke 500koin malah balik Lg ke awal dgn tulisan tonton. berarti yg saya tonton berjam"" hilang gitu ajj,poin pun balik ke posisi 50perak dgn dgn tulisan tonton😱🤦🏻‍♂️ Aq kurangi bintangnya jd kecewa udah 2x kejadian Ky gini."
sudah bagus.. film nya udate terus. cuma minus jaringan d perbaiki. signal bgus...pas nonton loading terus. terus ada sbgjan film juga episodenya tdk sampe habis. Tolong si perbaiki lgi
suka sama apk ny karna drama pendek ny bnyak yg menarik untuk d tonton cuma syng d iklan yg trllu bnyak muncul bru juga nnton eps 1 smpai 2 udah muncul iklan itu pun dgn durasi yg lumayan la d skip pun kdg iklan ny susah klau bsa ya min iklan ny bntu dkurangin min klau iklan ny udah dikit aku ksih bntang 5
"sangat menyenangkan, saya bisa menonton banyak drama tanpa bayar, iklannya juga ngga banyak, dan menurut saya klo ada iklan nya itu wajar aja. dan saya harap semoga selamanya terus seperti ini ya aplikasi nya, yang saya takutin cuma kalo nnti aplikasi nya sudah banyak yang pakai, pasti bakalan diadakan fitur premium seperti aplikasi lain, tapi semoga tidak ya..."
"maaf,terpaksa kukasih bintang yg bicara,awal nya aplikasi ini memang gak ada iklan,tapi udah beberapa Minggu,iklan mulai muncul,sedikit demi sedikit,lama kelamaan iklan makin bertambah,baru jalan 3 episode muncul iklan yg bergantian,knpa ini,makin lama iklan makin bnyak,harap diperbaiki sedikit,biar para penggemar melolo ini,tetap bertahan,makasih,nanti akan d ubah bintang yg bicara."
"aplikasi terbest yg aku temui saat ini ya melolo doang, ga ada iklan ganggu, gratis, sesuai iklan, cinta banget pokoknya sama melolo. kalau udah besar dan berkembang jangan ada perubahan ya, nanti jadi banyak yg kecewa karena udah ngga sama, terimakasih melolo 🤍"
tidak ada iklan dan tidak usah bayar Sangat nyaman saya nonton film tenang dan tidak ada ganggu apapun iklan gak ada dan tidak perlu bayar lagi semua episode terbuka tidak usah membuka dengan pakai uang sama iklan kita mau lihat tinggal lihat sangat menyenangkan bagi saya saya beri melolo ini 5 Binta karena sangat bagus kualitasnya tidak mengganggu nyaman buat menonton semuanya film episode ada dan tidak menunjukkan tanda-tanda pembayaran pokoknya semuanya gratis sesuai yang di tampi iklan bagus
"aplikasikannya keren,beda sama aplikasi yang lain,ga banyak iklan dan iklannya juga ga panjang jadi tidak terlalu menganggu, aplikasikannya free bisa dapet uang dan terbukti membayar"
"keren nih aplikasi..dramanya bener2 gratis dan cukup banyak yg berbahasa indonesia walau setengah serial berubah ke mandarin dg subtitle indonesia..judul2nya jg keren buat yg suka genre romantis, kerajaan, atau dewa perang semuanya ada..thanks min..asal jangan pake kuota terbatas ya,hehehe..hrs pake kuota unlimited, kalo gak bs boncos krn ketagihan nonton terus.🤭🤭🤣"
Iklannya terlalu memaksakan orang untuk melakukan top up.. kenapa selalu ada iklan seperti ini sungguh sangat disayangkan dan gak ada kinerja sama sekalih.. lebih baik pakai aplikasi mod saja daripada aplikasi resmi seperti ini..
"gambar bagus, tapi pas nonton sering macet, baru dua episode udah iklan. dulu pas pertama kali download emang gaada iklan nya. tapi lama-lama beriklan. Video kurang lengkap, terjemahannya banyak yang kurang. bahkan ada yang gak di terjemahkan. di tawarin berlangganan biar gaada iklan. padahal di iklan nya yang saya tonton jauh sebelum download melolo bilangnya tanpa iklan, nonton gratis, dan tidak perlu berlangganan. semuanya bohong. buktinya ini harus berlangganan. bagusnya, pasti ada film baru"
aku kasi bintang 5 karena aku suka bngat oh Iyah buat yg selalu bilang iklannya selalu mengganggu aku rasa enggak kok kalau mau nonton bebas iklan cukup di download saja setelah itu matikan datanya langsung nonton deh jadi nggak kepotong karena iklan film nya juga seru seru aku suka bngat☺️❤️❤️💕
"""Aplikasi Melolo sangat menghibur! Koleksi film pendeknya berkualitas, dengan cerita-cerita yang menyentuh dan sinematografi yang bagus. Aplikasi ini juga mudah digunakan dan tidak banyak iklan yang mengganggu. Cocok untuk pecinta drama singkat yang ingin hiburan cepat tapi berkesan. Sangat direkomendasikan"
"update kali ini masih cukup imbang lah antara iklan sama reward yang diberikan. tapi kalau bisa, next update perbaiki rekomendasi video yang disajikan, karna bosen kalau rekomendasinya itu"" melulu. setidaknya video yang udah pernah dilihat tidak muncul lagi di daftar rekomendasi"
bisa menonton semua drama tanpa membayar atau menonton iklan terlebih dahulu dan di Melolo ini bisa menghasilkan uang tunai walaupun sedikit tapi tidak masalah karena semuanya gratis dan ada satu yang kurang menurut saya yaitu vidio nya yg kurang lengkap menurut saya jati tolong tambah kan seperti yang sedang piral atau baru di rilis itu aja yang bisa saya samapai kan terimakasih salam hangat 😊
awal nya sih gk ada iklan yaa!!.. tapi ko 2 hari ni aku fokus nontn. ko per episode nya iklan terus. mana durasi nya lama lagi... klo 1 atu 2 gkpp sih tolong ya iklan nya di perbaiki lagi!!! bintang nya ku kasih 2 dulu
"Aplikasi bagus dan keren juga bermanfaat sebagai teman setelah pulang kerja langsung nonton drama pendek tapi bagus karena film nya sampai tuntas sampai episode akhir, gratis pula. pokoknya kereeeen mantaaap 👍 trimakasih developer, dan aku rekomendasikan juga buat yang lain, jangan ragu install aplikasi bagus ini."
"app bagus beneran gratis gak ribet , cuman beberapa iklan tidak mengganggu , hanya saja klo bisa saran dari saya episode nya di gabung aja dalam 1 cerita biar tidak terpotong potong , untuk keseluruhan sangat bagus wajib download yg suka drama mandarin 👍👍👍"
"saya bisa menonton banyak drama pendek china dengan gratis, awalnya saya kira hanya gratis di awal, tapi ternyata memang beneran gratis, saya ga perlu berlangganan untuk menonton banyak drama pendek china, tapi ada minusnya, lama kelamaan nonton pake melolo, jdi sering iklan, saran saya untuk iklan nya di kurangi, tapi saya tetap suka dengan aplikasi ini⭐️⭐️⭐️⭐️⭐️"
"alhamdulillaah... akhirnya nemu aplikasi keren dan mantap utk hiburan di waktu luang. udah gratis, dapat koin lagi. Pertahankan terus ya Melolo. Drama nya juga bagus², apalagi kalau aktornya Huang Wen Bo yg sekilas mirip Deni Sumargo. pasti aku tonton. Yang blm download, wajib sih. 🥰 kalau iklan sih ya kadang ada juga. cuma ya mending nonton iklan drpd mendem penasaran sama kelanjutan ceritanya tp harus pakai koin. kan males bgt. hehehe Di Melolo, ga harus nunggu pake koin malah dapat koin.👍🥰"
"Bagus..biar bintang yg menilai, bisa nonton sampai selesai walaupun ada iklan tp sedikit dan tidak mengganggu, anggap saja diberi waktu jeda buat istirahat sejenak, setelah nonton beberapa episode muncul iklan tp hanya sebentar, pertahankan."
"aplikasi yg sangat saya benci,,karena ketika lagi asyik main game lalu muncul aplikasi ini,,terus terang sangat menganggu banget dengan durasi iklan yg sangat panjang sampai 5 menit....."
"bagus sih apilikasi nya gratis cuma kalo nonton tuh sering iklan, buat ganggu aja ,sering macet² juga padahal jaringan normal ,sebenrnya gapap sih kalo iklan cuma ini iklan nya kelewatan banget masa baru nonton 1 episod udah iklan nonton lagi iklan lagi begitu trus jadi ga mood nonton"
"rating ny 4 bintang dlu lah yaa,kureng ny cuman sedikit , translate nya jgn suara orang lain dong gak enak banget di dengar ,tetep bahasa dari film nya aja translate melalui teks gitu ,trs tema nya tu coba kalo ada yg sekolah hehe biar tambah bagus aja jd bnyk yg minat lg download melolo"
"jangan ada yg instal aplikasi ini, semakin kalian nonton di aplikasi ini semakin mereka akalin,durasi iklan yg awalnya 10 detik akan menjadi 1 menit, dan itu di doble iklan setelah iklan. aplikasi ngakalin kasih bintang 1 aku hapus aplikaih buruk ini, cerita filmnya juga tidak jelas akhirnya"
"suka sih suka sama apli ini, tapi katanya ngga iklan?,, bener"" setiap aku scroll itu tiba"" iklan tiba"" iklan seringgg bangett,, trus tiba"" aku ngga pencet apa"" malah tiba"" kebuka playstore aneh kan?, DASAR APLIKASI PHP"
"sebenarnya udah bagus kak aplikasi nya cuman kok kayak ngeleg gitu ya? pdhl jaringan nya bagus kok, tolong diperbaiki yaa. bagus kok aplikasi nya ga terlalu banyak iklannya wajib deh di download buat orng suka drama singkat 😻"
"kasih 4 bintang dulu yh,, apk ini sangat keren dan menghibur, tapi sayang bahasa Indonesia nya cuma beberapa episode doang ga sampe tuntas, tolong di perbaiki lgi dubing bahasa Indonesia nya, biar nonton sampe tuntas🙏"
"aplikasi ini sebenarnya bagus cuma untuk dapetin reward dari menonton gk pernah dapet.. di tambah sekarang malah banyak iklan, gk seperti di awal2 rilis gk pernah ada iklan... semoga ada perkembangan lebih lanjut jika harus jadi member VIP tanpa iklan lantas buat apa ada reward tapi gk pernah nerima sama sekali"
"Film yang ada di aplikasi ini sangat bagus dan menarik semuaaa Pokoknya seru banget buat di tonton Aku rekomendasikan aplikasi ini untuk kalian unduh Pokoknya bagus deh, ada banyak banget film nya. Kalian bisa pilih sesuai dengan yang kalian suka. Walaupun filmnya tidak panjang banget yaa. Filmnya hanya 60 - 150 eps. Kurang lebih segitu yaaa. Tapi isinya seru kok, cobain deh"
"aplikasinya agak lain ya, pas download pertama nonton nya lancar jaya tanpa iklan, trus besoknya mau nonton lagi, buka aplikasinya gak bisa. berulang x di coba buka ttp gak bisa. dan akhirnya aku hapus lalu download ulang baru bisa di buka, udh 3x seperti itu. mmg agak lain ne."
"baguss bangett ceritanya juga seru² iklan cuma sedikit tidak mengganggu sama sekali,,udah asik nonton tambah di bayar lagi makin seneng nntnnya,,tapi bingung kenapa ulasan yang lain pada bilang iklan lama nntn harus bayar padahal di aku enggak sama sekali"
"saya kasih bintang 5 karena apk nya bagus banget, dan bisa menghasilkan saldo, namun saya belum bisa menariknya saldo tersebut karena tombol withdraw/penarikan tidak ada pdhl saldo saya sudah 23.345rb, dan saat saya mau narik di situ sudah saya tambahkan akun untuk penarikan saldo saya (dana) dan pass saya mau tarik TDK ada tombol withdraw/penarikan, melainkan cmn menghapus akun untuk penarikan, jadi mohon maaf jika ada kesalah teks atau apa, mohon maaf, dan untuk developer gamenya TOLONG YA DEV"
Baru selesai nonton 1 cerita tapi sudah sukaaa banget krn beneran ga perlu lihat iklan ataupun bayar biaya apapun untuk nonton full episode... Teks terjemahan juga bagus banget.Bahkan masih dapet poin yg sepertinya nanti akan bisa dituker ke akun dana kita.. Yang lain mah putus deh...
"syaa akan ubah bintang 1 ini ke bintang 5!!! jika iklanya diganti dengan iklan biasa gak Maslaah,,,tapi jika iklan slot/judi online lainya saya tidak akan tetap merubah!!! untuk film dll saya akuin itu sangat bagus,saya suka,,yang saya tidak sukai adalah iklan judol!!!trimaksih semoga kritik dan saran saya dapat di perhatikan!!"
"baru download sih baru nnton 1 film tapi sampai selesai gada iklan sama sekali, keren banget aku sukaa tapi gatau ya ini gada iklan krna memang bersih gada iklan atau krna aku pengguna baru , tapi setidaknya aku udah nnton film yg ku cari² sampai tamat ❤️😄"
"saya suka apk ini tapi awal"" nga ada iklan"" tapi makin"" kesini jdi sering ada iklan jadi agak nga nyaman kalo bisa iklan nya di kurangi padahal baru 3 eps mau 4 eps eh iklan gitu trus jadi saya tolong iklan nya agak di kurangin karena menggangu 🙏🏻🙏🏻"
"bintang 2 dulu, aplikasinya bagus bagus aja. cuman minusnya nama tokoh di dramanya jangan nama Indonesia, masa iya Yanto, harusnya nama China lah, kek di drama anak penurut harusnya Duan Xiuming jadi Sandi, astaga. dan saran lagi, untuk nama aktornya jangan lupa di sematkan di deskripsi, biar yang nonton tahu nama asli tokoh tersebut. terima kasih."
"aplikasinya ya lumayan lah karna ada yang kurang di bagian sercing mohon di beri fitur baru karna susah cari vidio yang ingin saya tonton dengan akurat, dan ada lagi translate nya ada yang nggak nyambung di film² tertentu mohon di perbaiki"
"Aplikasi yg saat ini lebih sering sy tonton daripada aplikasi yg lain. Krn banyak film baru, gak pake bayar, iklannya gak terlalu sering muncul. Pokoknya puas lah. Pertahankan kualitas, saya nonton bisa seharian soalnya..😅😅🙏"
"aplikasinya bagus beneran nggak bayar dan bisa nonton full, cuman masih banyak iklan aja tapi nggak papa ya daripada bayar lumayan sih iklannya makan kuota."
"bagus banget. buat nonton gratis semua. cuma masalahnya capek nge scroll satu satu, ngetik judul juga susah karena kepanjangan. ada baiknya bisa search dengan hanya mengetik nama asli pemain utamanya. misalnya He Congrui atau Ke Chun. sama ada beberapa keknya yg ga nemu atau mungkin memang belum ada di melolo. ini request pribadi sih, tolong masukkan dramanya Ziyu ya min, makasih🙏🏻🙏🏻🙏🏻"
aplikasi sangat baik . memberikan free nonton walaupun ada iklan q tau itu bentuk dukungan dan q berterimakasih karena tidak bayak iklan. aplikasi ini juga selalu terupdate drama drama baru (Minus ya ini aplikasi tidak ada shorts drama bule kebanyakan China) klo bisa tambahkan shorts drama bule
"iklannya ganggu, sekali lgi main game iklan nya bisa sampe 1 jam an.. kalau bisa iklannya 30 detik aja.. kalau mau panjang mending iklan di toktok aj sna.. ganggu orng yg lgi maen game sumpah"
"Akhirnya ku menemukan mu Melolo.. 😍 Aplikasi yg sangat bgus, bisa puas nonton drama tanpa iklan dan tak berbayar.. 😍😍 tp ada sedikit koreksi ya, knp sering sekali sdh sampai episode jauh tiba2 balik lagi di awal dan itu harus ulang lagi pdhl sdh jauh bahkan hampir selesai, nunggu iklan giliran iklan habis malah kembali ke episode ke 1 itu menyebalkan, tolong diperbaiki lagi"
"apknya mantap banget bossqu tingkatkan lagi dan tambahkan flm drama yg judulnya dewa langit dan yg lain""nya selain itu, jgn perna ada perubahan jika ada update selanjutnya ya, sangat puas nonton drama udh terbuka semua gini gk bakalan bosan"" klau mau nonton tinggal pilih aja yg ingin di tonton bagus semua drama korea😘🙏🏻"
"Aku suka semua kontennya, tapi kenapa dubbingnya harus pakai bahasa otomatis pengguna ya, menurutku itu sangatlah aneh. Aku ingin ada fitur yang bisa mengubah suara dubbingnya menjadi China saja, namun translate Indonesia tetap ada"
